remaining_hours,count_today,prev_same,slot,day,within_daily_limit,score
0,2,0,4,1,0,23
0,2,0,5,1,0,23
0,2,0,0,2,0,23
0,2,0,1,2,0,23
0,2,1,2,2,0,23
0,1,0,3,2,0,23
0,1,0,4,2,0,23
0,2,0,5,2,0,23
0,1,0,0,3,0,23
0,2,0,1,3,0,23
0,2,0,3,3,0,23
0,1,0,4,3,0,23
0,1,0,5,3,1,23
0,1,0,0,4,0,23
0,1,0,1,4,1,23
0,2,0,2,4,0,23
0,1,0,3,4,0,23
0,1,0,4,4,0,23
0,2,0,5,4,0,23
0,1,0,0,0,0,23
0,2,0,1,0,0,23
0,2,0,2,0,0,23
0,1,0,3,0,0,23
0,2,0,4,0,0,23
0,2,0,5,0,0,23
0,2,0,0,1,0,23
0,2,1,1,1,0,23
0,2,0,2,1,0,23
0,2,1,3,1,0,23
0,1,0,4,1,0,23
0,1,0,5,1,0,23
0,2,0,0,2,0,23
0,2,0,1,2,0,23
0,2,0,2,2,0,23
0,2,0,3,2,0,23
0,1,0,4,2,0,23
0,1,0,5,2,0,23
0,1,0,0,3,0,23
0,1,0,1,3,1,23
0,2,0,2,3,0,23
0,2,1,3,3,0,23
0,1,0,4,3,0,23
0,1,0,5,3,0,23
0,1,0,0,4,1,23
0,1,0,1,4,0,23
0,1,0,2,4,0,23
0,2,0,3,4,0,23
0,2,1,4,4,0,23
0,2,0,0,0,0,23
0,1,0,1,0,0,23
0,2,0,2,0,0,23
0,2,0,3,0,0,23
0,2,1,4,0,0,23
0,1,0,5,0,0,23
0,2,0,0,1,0,23
0,2,1,1,1,0,23
0,2,0,2,1,0,23
0,2,1,3,1,0,23
0,1,0,4,1,0,23
0,1,0,5,1,0,23
0,1,0,0,2,0,23
0,1,0,1,2,1,23
0,2,0,2,2,0,23
0,1,0,3,2,0,23
0,2,0,4,2,0,23
0,1,0,5,2,0,23
0,2,0,0,3,0,23
0,2,0,1,3,0,23
0,1,0,2,3,0,23
0,1,0,3,3,0,23
0,2,0,4,3,0,23
0,2,0,5,3,0,23
0,1,0,0,4,0,23
0,2,0,1,4,0,23
0,2,1,2,4,0,23
0,1,0,3,4,0,23
0,1,0,4,4,1,23
0,1,0,0,0,0,56
0,2,0,1,0,0,56
0,2,0,2,0,0,56
0,2,1,3,0,0,56
0,2,0,4,0,0,56
0,1,0,5,0,0,56
0,2,0,0,1,0,56
0,2,0,1,1,0,56
0,2,1,2,1,0,56
0,1,0,3,1,0,56
0,1,0,4,1,0,56
0,2,0,5,1,0,56
0,2,0,0,2,0,56
0,2,0,1,2,0,56
0,1,0,2,2,0,56
0,2,0,3,2,0,56
0,2,0,4,2,0,56
0,1,0,5,2,0,56
0,1,0,0,3,0,56
0,1,0,1,3,1,56
0,2,0,2,3,0,56
0,2,1,3,3,0,56
0,1,0,4,3,0,56
0,1,0,5,3,0,56
0,2,0,0,4,0,56
0,2,1,1,4,0,56
0,1,0,2,4,1,56
0,1,0,3,4,0,56
0,1,0,4,4,0,56
0,1,0,0,0,0,56
0,2,0,1,0,0,56
0,1,0,2,0,0,56
0,2,0,3,0,0,56
0,2,0,4,0,0,56
0,2,0,5,0,0,56
0,2,0,0,1,0,56
0,2,0,1,1,0,56
0,1,0,2,1,0,56
0,2,0,3,1,0,56
0,2,0,4,1,0,56
0,1,0,5,1,0,56
0,1,0,0,2,0,56
0,2,0,1,2,0,56
0,2,0,2,2,0,56
0,1,0,3,2,0,56
0,2,0,4,2,0,56
0,2,0,5,2,0,56
0,1,0,0,3,0,56
0,2,0,1,3,0,56
0,1,0,2,3,0,56
0,1,0,3,3,0,56
0,1,0,4,3,1,56
0,2,0,5,3,0,56
0,1,0,0,4,0,56
0,1,0,1,4,1,56
0,2,0,2,4,0,56
0,2,1,3,4,0,56
0,1,0,4,4,0,56
0,1,0,0,0,1,56
0,2,0,1,0,0,56
0,1,0,2,0,0,56
0,1,0,3,0,0,56
0,1,0,4,0,0,56
0,2,0,5,0,0,56
0,2,0,0,1,0,56
0,2,0,1,1,0,56
0,1,0,2,1,0,56
0,2,0,3,1,0,56
0,1,0,4,1,0,56
0,2,0,5,1,0,56
0,1,0,0,2,0,56
0,2,0,1,2,0,56
0,1,0,2,2,0,56
0,1,0,3,2,0,56
0,1,0,4,2,1,56
0,2,0,5,2,0,56
0,2,0,0,3,0,56
0,2,0,1,3,0,56
0,1,0,2,3,0,56
0,2,0,3,3,0,56
0,1,0,4,3,0,56
0,2,0,5,3,0,56
0,2,0,0,4,0,56
0,2,0,1,4,0,56
0,1,0,2,4,0,56
0,2,0,3,4,0,56
0,2,0,4,4,0,56
0,2,0,0,0,0,56
0,1,0,1,0,0,56
0,2,0,2,0,0,56
0,2,0,3,0,0,56
0,2,1,4,0,0,56
0,1,0,5,0,0,56
0,1,0,0,1,0,56
0,2,0,1,1,0,56
0,2,0,2,1,0,56
0,1,0,3,1,0,56
0,2,0,4,1,0,56
0,2,0,5,1,0,56
0,1,0,0,2,0,56
0,1,0,1,2,1,56
0,2,0,2,2,0,56
0,1,0,3,2,0,56
0,2,0,4,2,0,56
0,1,0,5,2,0,56
0,2,0,0,3,0,56
0,1,0,1,3,0,56
0,2,0,2,3,0,56
0,1,0,3,3,0,56
0,2,0,4,3,0,56
0,2,0,5,3,0,56
0,2,0,0,4,0,56
0,1,0,1,4,1,56
0,2,0,2,4,0,56
0,1,0,3,4,0,56
0,1,0,4,4,0,56
0,2,0,0,0,0,32
0,1,0,1,0,0,32
0,2,0,2,0,0,32
0,2,0,3,0,0,32
0,2,1,4,0,0,32
0,1,0,5,0,0,32
0,2,0,0,1,0,32
0,1,0,1,1,0,32
0,2,0,2,1,0,32
0,2,0,3,1,0,32
0,2,0,4,1,0,32
0,1,0,5,1,0,32
0,2,0,0,2,0,32
0,2,0,1,2,0,32
0,2,1,2,2,0,32
0,1,0,3,2,0,32
0,1,0,4,2,0,32
0,2,0,5,2,0,32
0,1,0,0,3,1,32
0,1,0,1,3,0,32
0,2,0,2,3,0,32
0,2,1,3,3,0,32
0,1,0,4,3,0,32
0,1,0,5,3,0,32
0,1,0,0,4,0,32
0,1,0,1,4,1,32
0,2,0,2,4,0,32
0,2,1,3,4,0,32
0,1,0,4,4,0,32
0,2,0,0,0,0,32
0,2,0,1,0,0,32
0,2,0,2,0,0,32
0,2,0,3,0,0,32
0,1,0,4,0,0,32
0,1,0,5,0,0,32
0,2,0,0,1,0,32
0,2,1,1,1,0,32
0,2,0,2,1,0,32
0,1,0,3,1,0,32
0,2,0,4,1,0,32
0,1,0,5,1,0,32
0,2,0,0,2,0,32
0,2,0,1,2,0,32
0,2,1,2,2,0,32
0,1,0,3,2,0,32
0,1,0,4,2,0,32
0,2,0,5,2,0,32
0,2,0,0,3,0,32
0,2,1,1,3,0,32
0,1,0,2,3,0,32
0,1,0,3,3,0,32
0,1,0,4,3,0,32
0,1,0,5,3,1,32
0,2,0,0,4,0,32
0,2,1,1,4,0,32
0,1,0,2,4,0,32
0,1,0,3,4,1,32
0,1,0,4,4,0,32
0,2,0,0,0,0,32
0,2,0,1,0,0,32
0,2,0,2,0,0,32
0,1,0,3,0,0,32
0,1,0,4,0,0,32
0,2,0,5,0,0,32
0,2,0,0,1,0,32
0,2,0,1,1,0,32
0,2,0,2,1,0,32
0,1,0,3,1,0,32
0,1,0,4,1,0,32
0,2,0,5,1,0,32
0,1,0,0,2,0,32
0,1,0,1,2,0,32
0,2,0,2,2,0,32
0,1,0,3,2,1,32
0,2,0,4,2,0,32
0,1,0,5,2,0,32
0,2,0,0,3,0,32
0,2,0,1,3,0,32
0,2,1,2,3,0,32
0,1,0,3,3,0,32
0,2,0,4,3,0,32
0,1,0,5,3,0,32
0,1,0,0,4,1,32
0,2,0,1,4,0,32
0,1,0,2,4,0,32
0,1,0,3,4,0,32
0,2,0,4,4,0,32
0,2,0,0,0,0,32
0,1,0,1,0,0,32
0,2,0,2,0,0,32
0,2,0,3,0,0,32
0,1,0,4,0,0,32
0,2,0,5,0,0,32
0,2,0,0,1,0,32
0,1,0,1,1,0,32
0,2,0,2,1,0,32
0,1,0,3,1,0,32
0,1,0,4,1,0,32
0,1,0,5,1,1,32
0,2,0,0,2,0,32
0,2,0,1,2,0,32
0,1,0,2,2,0,32
0,2,0,3,2,0,32
0,2,0,4,2,0,32
0,2,0,0,3,0,32
0,2,0,1,3,0,32
0,1,0,2,3,0,32
0,2,0,3,3,0,32
0,2,0,4,3,0,32
0,1,0,5,3,0,32
0,1,0,0,4,0,32
0,1,0,1,4,1,32
0,2,0,2,4,0,32
0,1,0,3,4,0,32
0,1,0,4,4,0,32
0,2,0,5,4,0,32
0,2,0,0,0,0,32
0,1,0,1,0,0,32
0,2,0,2,0,0,32
0,2,0,3,0,0,32
0,2,1,4,0,0,32
0,1,0,5,0,0,32
0,2,0,0,1,0,32
0,1,0,1,1,0,32
0,2,0,2,1,0,32
0,2,0,3,1,0,32
0,2,0,4,1,0,32
0,1,0,5,1,0,32
0,2,0,0,2,0,32
0,2,0,1,2,0,32
0,2,1,2,2,0,32
0,1,0,3,2,0,32
0,1,0,4,2,0,32
0,2,0,5,2,0,32
0,1,0,0,3,1,32
0,1,0,1,3,0,32
0,2,0,2,3,0,32
0,2,1,3,3,0,32
0,1,0,4,3,0,32
0,1,0,5,3,0,32
0,1,0,0,4,0,32
0,1,0,1,4,1,32
0,2,0,2,4,0,32
0,2,1,3,4,0,32
0,1,0,4,4,0,32
0,2,0,0,0,0,32
0,2,0,1,0,0,32
0,2,0,2,0,0,32
0,2,0,3,0,0,32
0,1,0,4,0,0,32
0,1,0,5,0,0,32
0,2,0,0,1,0,32
0,2,1,1,1,0,32
0,2,0,2,1,0,32
0,1,0,3,1,0,32
0,2,0,4,1,0,32
0,1,0,5,1,0,32
0,2,0,0,2,0,32
0,2,0,1,2,0,32
0,2,1,2,2,0,32
0,1,0,3,2,0,32
0,1,0,4,2,0,32
0,2,0,5,2,0,32
0,2,0,0,3,0,32
0,2,1,1,3,0,32
0,1,0,2,3,0,32
0,1,0,3,3,0,32
0,1,0,4,3,0,32
0,1,0,5,3,1,32
0,2,0,0,4,0,32
0,2,1,1,4,0,32
0,1,0,2,4,0,32
0,1,0,3,4,1,32
0,1,0,4,4,0,32
0,2,0,0,0,0,32
0,2,0,1,0,0,32
0,2,0,2,0,0,32
0,1,0,3,0,0,32
0,1,0,4,0,0,32
0,2,0,5,0,0,32
0,2,0,0,1,0,32
0,2,0,1,1,0,32
0,2,0,2,1,0,32
0,1,0,3,1,0,32
0,1,0,4,1,0,32
0,2,0,5,1,0,32
0,1,0,0,2,0,32
0,1,0,1,2,0,32
0,2,0,2,2,0,32
0,1,0,3,2,1,32
0,2,0,4,2,0,32
0,1,0,5,2,0,32
0,2,0,0,3,0,32
0,2,0,1,3,0,32
0,2,1,2,3,0,32
0,1,0,3,3,0,32
0,2,0,4,3,0,32
0,1,0,5,3,0,32
0,1,0,0,4,1,32
0,2,0,1,4,0,32
0,1,0,2,4,0,32
0,1,0,3,4,0,32
0,2,0,4,4,0,32
0,2,0,0,0,0,32
0,1,0,1,0,0,32
0,2,0,2,0,0,32
0,2,0,3,0,0,32
0,1,0,4,0,0,32
0,2,0,5,0,0,32
0,2,0,0,1,0,32
0,1,0,1,1,0,32
0,2,0,2,1,0,32
0,1,0,3,1,0,32
0,1,0,4,1,0,32
0,1,0,5,1,1,32
0,2,0,0,2,0,32
0,2,0,1,2,0,32
0,1,0,2,2,0,32
0,2,0,3,2,0,32
0,2,0,4,2,0,32
0,2,0,0,3,0,32
0,2,0,1,3,0,32
0,1,0,2,3,0,32
0,2,0,3,3,0,32
0,2,0,4,3,0,32
0,1,0,5,3,0,32
0,1,0,0,4,0,32
0,1,0,1,4,1,32
0,2,0,2,4,0,32
0,1,0,3,4,0,32
0,1,0,4,4,0,32
0,2,0,5,4,0,32
0,2,0,0,0,0,24
0,2,0,1,0,0,24
0,2,0,2,0,0,24
0,2,0,3,0,0,24
0,1,0,4,0,0,24
0,1,0,5,0,0,24
0,2,0,0,1,0,24
0,2,1,1,1,0,24
0,2,0,2,1,0,24
0,1,0,3,1,0,24
0,1,0,4,1,0,24
0,2,0,5,1,0,24
0,2,0,0,2,0,24
0,2,1,1,2,0,24
0,1,0,2,2,1,24
0,1,0,3,2,0,24
0,1,0,4,2,0,24
0,1,0,5,2,0,24
0,2,0,0,3,0,24
0,1,0,1,3,0,24
0,1,0,2,3,0,24
0,2,0,3,3,0,24
0,2,0,4,3,0,24
0,2,0,5,3,0,24
0,1,0,0,4,1,24
0,2,0,1,4,0,24
0,1,0,2,4,0,24
0,1,0,3,4,0,24
0,2,0,4,4,0,24
0,1,0,0,0,0,24
0,2,0,1,0,0,24
0,2,0,2,0,0,24
0,2,0,3,0,0,24
0,1,0,4,0,0,24
0,2,0,5,0,0,24
0,1,0,0,1,0,24
0,2,0,1,1,0,24
0,2,0,2,1,0,24
0,2,1,3,1,0,24
0,2,0,4,1,0,24
0,1,0,5,1,0,24
0,2,0,0,2,0,24
0,2,1,1,2,0,24
0,2,0,2,2,0,24
0,2,1,3,2,0,24
0,1,0,4,2,0,24
0,1,0,5,2,0,24
0,2,0,0,3,0,24
0,2,1,1,3,0,24
0,1,0,2,3,1,24
0,1,0,3,3,0,24
0,1,0,4,3,0,24
0,1,0,5,3,0,24
0,1,0,0,4,0,24
0,1,0,1,4,1,24
0,2,0,2,4,0,24
0,2,1,3,4,0,24
0,1,0,4,4,0,24
0,2,0,0,0,0,24
0,1,0,1,0,0,24
0,1,0,2,0,0,24
0,2,0,3,0,0,24
0,2,0,4,0,0,24
0,2,0,5,0,0,24
0,2,0,0,1,0,24
0,2,0,1,1,0,24
0,1,0,2,1,0,24
0,2,0,3,1,0,24
0,1,0,4,1,0,24
0,2,0,5,1,0,24
0,2,0,0,2,0,24
0,2,0,1,2,0,24
0,2,0,2,2,0,24
0,2,0,3,2,0,24
0,1,0,4,2,0,24
0,1,0,5,2,0,24
0,2,0,0,3,0,24
0,1,0,1,3,1,24
0,1,0,2,3,0,24
0,1,0,3,3,0,24
0,2,0,4,3,0,24
0,1,0,5,3,0,24
0,1,0,0,4,0,24
0,2,0,1,4,0,24
0,1,0,2,4,0,24
0,2,0,3,4,0,24
0,1,0,4,4,1,24
0,1,0,0,0,0,24
0,2,0,1,0,0,24
0,2,0,2,0,0,24
0,2,1,3,0,0,24
0,2,0,4,0,0,24
0,1,0,5,0,0,24
0,2,0,0,1,0,24
0,2,0,1,1,0,24
0,2,0,2,1,0,24
0,1,0,3,1,0,24
0,2,0,4,1,0,24
0,1,0,5,1,0,24
0,1,0,0,2,1,24
0,1,0,1,2,0,24
0,1,0,2,2,0,24
0,2,0,3,2,0,24
0,2,1,4,2,0,24
0,1,0,5,2,0,24
0,1,0,0,3,0,24
0,1,0,1,3,0,24
0,2,0,2,3,0,24
0,1,0,3,3,1,24
0,1,0,4,3,0,24
0,2,0,5,3,0,24
0,2,0,0,4,0,24
0,2,1,1,4,0,24
0,2,0,2,4,0,24
0,1,0,3,4,0,24
0,2,0,4,4,0,24
0,1,0,0,0,0,40
0,2,0,1,0,0,40
0,2,0,2,0,0,40
0,2,0,3,0,0,40
0,2,0,4,0,0,40
0,1,0,5,0,0,40
0,1,0,0,1,0,40
0,2,0,1,1,0,40
0,2,0,2,1,0,40
0,2,0,3,1,0,40
0,2,0,4,1,0,40
0,1,0,5,1,0,40
0,1,0,0,2,0,40
0,2,0,1,2,0,40
0,2,0,2,2,0,40
0,2,1,3,2,0,40
0,1,0,4,2,0,40
0,2,0,5,2,0,40
0,1,0,0,3,0,40
0,2,0,1,3,0,40
0,1,0,2,3,0,40
0,1,0,3,3,0,40
0,2,0,4,3,0,40
0,1,0,5,3,1,40
0,1,0,0,4,1,40
0,2,0,1,4,0,40
0,1,0,2,4,0,40
0,1,0,3,4,0,40
0,2,0,4,4,0,40
0,1,0,0,0,0,40
0,2,0,1,0,0,40
0,1,0,2,0,0,40
0,2,0,3,0,0,40
0,1,0,4,0,0,40
0,1,0,5,0,1,40
0,1,0,0,1,0,40
0,1,0,1,1,0,40
0,2,0,2,1,0,40
0,2,0,3,1,0,40
0,2,0,4,1,0,40
0,2,0,5,1,0,40
0,2,0,0,2,0,40
0,1,0,1,2,0,40
0,1,0,2,2,0,40
0,2,0,3,2,0,40
0,2,0,4,2,0,40
0,2,1,5,2,0,40
0,2,0,0,3,0,40
0,1,0,1,3,1,40
0,1,0,2,3,0,40
0,1,0,4,3,0,40
0,2,0,5,3,0,40
0,1,0,0,4,0,40
0,2,0,1,4,0,40
0,2,1,2,4,0,40
0,2,0,3,4,0,40
0,1,0,4,4,0,40
0,2,0,5,4,0,40
0,2,0,0,0,0,40
0,2,1,1,0,0,40
0,2,0,2,0,0,40
0,1,0,3,0,0,40
0,2,0,4,0,0,40
0,1,0,5,0,0,40
0,2,0,0,1,0,40
0,2,1,1,1,0,40
0,1,0,2,1,0,40
0,1,0,3,1,0,40
0,1,0,5,1,1,40
0,2,0,0,2,0,40
0,2,0,1,2,0,40
0,1,0,2,2,0,40
0,2,0,3,2,0,40
0,2,0,4,2,0,40
0,1,0,5,2,0,40
0,2,0,0,3,0,40
0,2,1,1,3,0,40
0,2,0,2,3,0,40
0,1,0,3,3,0,40
0,2,0,4,3,0,40
0,1,0,5,3,0,40
0,1,0,0,4,0,40
0,1,0,1,4,1,40
0,1,0,2,4,0,40
0,2,0,3,4,0,40
0,1,0,4,4,0,40
0,2,0,5,4,0,40
0,1,0,0,0,0,40
0,2,0,1,0,0,40
0,2,0,2,0,0,40
0,2,0,3,0,0,40
0,1,0,4,0,0,40
0,2,0,5,0,0,40
0,1,0,0,1,0,40
0,2,0,1,1,0,40
0,2,1,2,1,0,40
0,2,0,3,1,0,40
0,1,0,4,1,0,40
0,2,0,5,1,0,40
0,1,0,0,2,0,40
0,1,0,1,2,1,40
0,1,0,2,2,0,40
0,2,0,3,2,0,40
0,1,0,4,2,0,40
0,2,0,5,2,0,40
0,1,0,0,3,0,40
0,2,0,1,3,0,40
0,2,0,2,3,0,40
0,2,0,3,3,0,40
0,1,0,4,3,0,40
0,2,0,5,3,0,40
0,2,0,0,4,0,40
0,2,1,1,4,0,40
0,1,0,3,4,0,40
0,1,0,4,4,0,40
0,1,0,5,4,1,40
0,2,0,0,0,0,31
0,1,0,1,0,0,31
0,2,0,2,0,0,31
0,2,0,3,0,0,31
0,2,1,4,0,0,31
0,1,0,5,0,0,31
0,1,0,0,1,0,31
0,2,0,1,1,0,31
0,2,1,2,1,0,31
0,2,0,3,1,0,31
0,1,0,4,1,0,31
0,2,0,5,1,0,31
0,2,0,0,2,0,31
0,1,0,1,2,0,31
0,1,0,2,2,0,31
0,2,0,3,2,0,31
0,2,0,4,2,0,31
0,2,0,5,2,0,31
0,1,0,0,3,0,31
0,1,0,1,3,1,31
0,2,0,2,3,0,31
0,1,0,3,3,0,31
0,1,0,4,3,0,31
0,2,0,5,3,0,31
0,1,0,0,4,1,31
0,1,0,1,4,0,31
0,2,0,2,4,0,31
0,1,0,3,4,0,31
0,2,0,4,4,0,31
0,2,0,0,0,0,31
0,1,0,1,0,0,31
0,2,0,2,0,0,31
0,2,0,3,0,0,31
0,1,0,4,0,0,31
0,2,0,5,0,0,31
0,2,0,0,1,0,31
0,2,0,1,1,0,31
0,2,1,2,1,0,31
0,2,0,3,1,0,31
0,1,0,4,1,0,31
0,1,0,5,1,0,31
0,2,0,0,2,0,31
0,2,0,1,2,0,31
0,2,0,2,2,0,31
0,1,0,3,2,0,31
0,1,0,4,2,0,31
0,2,0,5,2,0,31
0,1,0,0,3,0,31
0,2,0,1,3,0,31
0,1,0,2,3,0,31
0,2,0,3,3,0,31
0,2,0,4,3,0,31
0,2,1,5,3,0,31
0,2,0,0,4,0,31
0,2,1,1,4,0,31
0,1,0,2,4,0,31
0,1,0,3,4,0,31
0,1,0,4,4,0,31
0,1,0,0,0,0,31
0,2,0,1,0,0,31
0,2,0,2,0,0,31
0,2,1,3,0,0,31
0,1,0,4,0,0,31
0,2,0,5,0,0,31
0,2,0,0,1,0,31
0,1,0,1,1,0,31
0,2,0,2,1,0,31
0,1,0,3,1,0,31
0,2,0,4,1,0,31
0,2,0,5,1,0,31
0,2,0,0,2,0,31
0,1,0,1,2,1,31
0,1,0,2,2,0,31
0,1,0,3,2,0,31
0,2,0,4,2,0,31
0,1,0,5,2,0,31
0,1,0,0,3,1,31
0,2,0,1,3,0,31
0,1,0,2,3,0,31
0,1,0,3,3,0,31
0,2,0,4,3,0,31
0,1,0,5,3,0,31
0,1,0,0,4,0,31
0,2,0,1,4,0,31
0,2,0,2,4,0,31
0,2,1,3,4,0,31
0,2,0,4,4,0,31
0,1,0,0,0,0,31
0,2,0,1,0,0,31
0,2,0,2,0,0,31
0,1,0,3,0,0,31
0,2,0,4,0,0,31
0,2,0,5,0,0,31
0,1,0,0,1,0,31
0,2,0,1,1,0,31
0,2,1,2,1,0,31
0,2,0,3,1,0,31
0,2,1,4,1,0,31
0,1,0,5,1,0,31
0,1,0,0,2,0,31
0,1,0,1,2,0,31
0,1,0,2,2,1,31
0,2,0,3,2,0,31
0,1,0,4,2,0,31
0,2,0,5,2,0,31
0,1,0,0,3,0,31
0,2,0,1,3,0,31
0,1,0,2,3,0,31
0,2,0,3,3,0,31
0,2,0,4,3,0,31
0,2,0,5,3,0,31
0,2,0,0,4,0,31
0,1,0,1,4,1,31
0,2,0,2,4,0,31
0,1,0,3,4,0,31
0,1,0,4,4,0,31
0,2,0,0,0,0,32
0,1,0,1,0,0,32
0,2,0,2,0,0,32
0,2,0,3,0,0,32
0,2,1,4,0,0,32
0,1,0,5,0,0,32
0,2,0,0,1,0,32
0,2,0,1,1,0,32
0,2,0,2,1,0,32
0,2,0,3,1,0,32
0,1,0,4,1,0,32
0,1,0,5,1,0,32
0,2,0,0,2,0,32
0,1,0,1,2,1,32
0,2,0,2,2,0,32
0,1,0,3,2,0,32
0,1,0,4,2,0,32
0,1,0,5,2,0,32
0,2,0,0,3,0,32
0,1,0,1,3,0,32
0,2,0,2,3,0,32
0,1,0,3,3,0,32
0,2,0,4,3,0,32
0,2,0,5,3,0,32
0,2,0,0,4,0,32
0,1,0,1,4,0,32
0,1,0,2,4,0,32
0,1,0,3,4,1,32
0,2,0,4,4,0,32
0,1,0,0,0,0,32
0,1,0,1,0,0,32
0,2,0,2,0,0,32
0,2,0,3,0,0,32
0,2,1,4,0,0,32
0,2,0,5,0,0,32
0,1,0,0,1,0,32
0,2,0,1,1,0,32
0,2,0,2,1,0,32
0,2,0,3,1,0,32
0,1,0,4,1,0,32
0,2,0,5,1,0,32
0,2,0,0,2,0,32
0,1,0,1,2,0,32
0,1,0,2,2,0,32
0,2,0,3,2,0,32
0,2,1,4,2,0,32
0,2,0,5,2,0,32
0,1,0,0,3,0,32
0,2,0,1,3,0,32
0,1,0,2,3,1,32
0,2,0,3,3,0,32
0,1,0,4,3,0,32
0,1,0,5,3,0,32
0,1,0,0,4,1,32
0,2,0,1,4,0,32
0,2,1,2,4,0,32
0,1,0,3,4,0,32
0,1,0,4,4,0,32
0,1,0,0,0,0,32
0,1,0,1,0,1,32
0,2,0,2,0,0,32
0,1,0,3,0,0,32
0,1,0,4,0,0,32
0,2,0,5,0,0,32
0,2,0,0,1,0,32
0,2,1,1,1,0,32
0,2,0,2,1,0,32
0,1,0,3,1,0,32
0,2,0,4,1,0,32
0,1,0,5,1,0,32
0,2,0,0,2,0,32
0,1,0,1,2,0,32
0,2,0,2,2,0,32
0,1,0,3,2,0,32
0,2,0,4,2,0,32
0,2,1,5,2,0,32
0,2,0,0,3,0,32
